列車番号,両数(最大),両数(その他)
6320M,2,
6322M,3,
6324M,2,
6326M,4,
5324M,2,
6328M,3,
5326M,4,
5328M,3,
4320M,2,
6332M,3,
5330M,3,
5332M,2,
5334M,2,
5336M,3,
5338M,2,
5340M,3,
6334M,3,
5342M,2,
5344M,2,
5346M,3,
5348M,2,
5350M,3,
6336M,2,
6338M,2,
5352M,2,
5354M,3,
5356M,2,
5358M,2,
6340M,2,
6342M,3,
5360M,2,
6344M,3,
6346M,4,
6348M,2,
6350M,3,
5362M,3,
6352M,3,
6354M,4,
6356M,3,
5364M,2,
5366M,2,
6358M,4,
5368M,2,
6321M,3,
521D,2,
6323M,4,
6325M,3,
6327M,2,
523D,2,
5321M,4,2
6329M,3,
5323M,3,
525D,2,
5325M,2,
5327M,2,
527D,2,
5329M,3,
5331M,2,
529D,2,
5333M,3,
5335M,3,
6331M,2,
531D,2,
5337M,2,
6333M,3,
5339M,2,
533D,2,
5341M,3,
5343M,2,
535D,2,
5345M,3,
5347M,2,
5349M,2,
537D,2,
5351M,2,
6335M,2,
539D,2,
5353M,2,
5355M,3,
541D,2,
5357M,2,
5359M,3,
6337M,4,
6339M,2,
5361M,3,
543D,2,
6341M,3,
6343M,3,
6345M,4,
545D,2,
6347M,2,
6349M,3,
5363M,2,
547D,2,
6351M,4,
6353M,4,
549D,2,
5365M,2,
5367M,3,
551D,2,
5369M,2,
6355M,2,
320M,4,
324M,3,
5320M,2,
326M,2,
5322M,2,
328M,3,
332M,3,
334M,2,
342M,2,
8222,7,
356M,4,
358M,3,
366M,2,
370M,2,
372M,2,
378M,2,
380M,2,
323M,2,
4321M,2,
337M,2,
353M,3,
361M,2,
365M,2,
369M,2,
373M,2,
377M,2,
381M,2,
383M,2,
385M,2,
389M,2,
2326M,9,
1220M,6,
4120M,7,
4222M,8,4
2338M,4,
2342M,9,3
4128M,8,4
338M,2,
340M,3,
344M,2,
346M,2,
348M,2,
350M,3,
352M,2,
354M,2,
4230M,8,
376M,2,
2321M,4,
325M,4,
1321M,4,
1829D,2,
2323M,4,
